(1),new,york
(2),nonspecific,staining
(3),vice,versa
(4),minimal,polynomial
(5),dominant,stress
(6),nineteenth,century
(7),sweet,clover
(8),anionic,binding
(9),electronic,switches
(10),bacterial,diarrhea
(11),unwed,mothers
(12),pulmonary,artery
(13),prime,minister
(14),bronchial,artery
(15),fiscal,year
(16),southeast,asia
(17),real,estate
(18),causal,efficacy
(19),peaceful,coexistence
(20),high,school
(21),east,greenwich
(22),supreme,court
(23),civil,war
(24),nuclear,weapons
(25),white,house
(26),ballistic,missile
(27),scottish,rite
(28),collective,bargaining
(29),random,variable
(30),utopian,communism
(31),wishful,thinking
(32),indirect,coombs
(33),great,deal
(34),roman,catholic
(35),unadjusted,allotment
(36),hypothalamic,balance
(37),last,year
(38),antithyroid,drugs
(39),human,beings
(40),interior,design
(41),electronic,switch
(42),gross,income
(43),cubic,centimeters
(44),new,orleans
(45),interstate,commerce
(46),yugoslav,claims
(47),foreign,policy
(48),junior,showmanship
(49),statutory,merger
(50),vocational,rehabilitation
(51),linear,operator
(52),boundary,maintenance
(53),brooklyn,college
(54),pacific,northwest
(55),inversely,proportional
(56),inhibit,learning
(57),healthy,sweet
(58),onset,profile
(59),flexural,strength
(60),completion,profile
(61),desperate,urgency
(62),stretch,yarn
(63),harvard,university
(64),brightness,temperature
(65),sharply,contrasting
(66),emory,university
(67),compare,favorably
(68),economic,development
(69),acutely,aware
(70),hanford,college
(71),relative,merits
(72),highly,speculative
(73),light,intensity
(74),room,temperature
(75),second,half
(76),better,understanding
(77),little,doubt
(78),vary,widely
(79),tensile,strength
(80),body,politic
(81),fairly,accurate
(82),development,program
(83),supreme,bishop
(84),shooting,development
(85),becoming,increasingly
(86),finite,number
(87),highly,anxious
(88),carleton,college
(89),heavily,loaded
(90),lesser,degree
(91),wave,length
(92),relative,importance
(93),compression,strength
(94),miles,northwest
(95),much,greater
(96),infinite,variety
(97),industrial,development
(98),summit,meeting
(99),little,rock
(100),automatic,extension
